word,inspector,Creator,long-definition,origin,tag,example,"link(img,def)",short-definition,date,similar_words,,,审核是否完成,
精苏,Fahy,Eric,指江苏米粉，后被尝用来表示苏联的狂热粉丝。后来一发不可收拾，又出现了精日、精德、精清、精明等等。,不明,学习,小明特别喜欢苏联的武器，自称是个精苏。,,苏联的狂热粉丝,,,,,完成,
肉蛋奶警告,Fahy,Eric,指视频“如何快速消灭巴西森林”中提到：我们（中国人）的肉蛋奶消费可以实实在在影响巴西森林的存亡，引发争议。视频中，包含大量呼吁中国人少吃肉的语句，故被网友们成为“肉蛋奶警告”。,出自科普账号“回形针Paperclip ”在2018年3月21日与世界自然基金会合作发布的的视频“如何快速消灭巴西森林”。,学习,21年全球增绿的四分之一来自中国，“肉蛋奶警告”纯属搞笑。,,中国人吃肉的“危害”,,,,,完成,
太好孝了,Fahy,Eric,意思是太好笑了，之所以用孝来代替笑，是因为令人发笑的这件事是“孝顺行为”。太好孝了的“孝”，轻则是表现在对偶像的无脑吹捧，重则是在把偶像的位置放在父母之上。现在网友们在评论一些好笑的事情时，有的会用到“好孝”这个梗，例如“太好孝了”，“孝死我了”，“你孝起来真好看”，“看不见你的孝我怎能睡得着“。,不明,明星,现在有些年轻人真是太好孝了，把父母的血汗钱打赏给网上主播。,,反向孝顺,,,,,完成,
原年人,Fahy,Eric,指“原地过年的人”。原年人，疫情期间的春节到来之际，为减少大规模人员流动，全国各地都提倡，条件允许情况下留在工作所在地过年，新词“原年人”应运而生，成为继“打工人”之后的全民热词。,不明,生活,牛年春节超过1亿“原年人”选择就地过年。,,原地过年的人,,,,,完成,
盒马配送员,Fahy,Eric,用来委婉地告诉别人“你菜到家 ”。,出自近期PDD、大司马直播间对话 “你好，我是盒马配送员，刚才电话你没接，我想告诉你，你菜到家了 。后来网友通过自称“盒马配送员”示对方太菜了，幽默且不伤和气，暗屡试屡爽。,游戏,你这战绩真是盒马配送员。 ,,菜到家了,,,,,完成,
亲爱的周游,Fahy,Eric,周游起初是一作家随笔里的一个名字，后来演变成大家对心中想要描述的那个人的一个代称。,出自一个叫故野的女孩子写的随笔，周游是随笔里的一个名字，指代任何人，就相当于一个符号，展示出你想要形容他想要记录的任何话。可以是另一个你，可以是你错过的人，你觉得周游是谁，周游就是你的谁。,学习,亲爱的周游，又是一个普通的夜晚，想听听你喜欢听的歌， 网易云请互关一下好吧。,,Dear 周游,,,,,完成,
被邻居大妈支配的恐惧,Fahy,Eric,在茶余饭后，也许你的一些事情就已经成了大妈们的谈资了，在你认为无所谓的话题上，大妈们聊的风生水起，唾沫横飞。,出自网络上一位抖友的分享视频。 网友在老家参加聚会的时候，拍摄的一段两位大妈聊家常的片段，根据视频当中大妈们聊天的状态，网友们理解成夸大的言论，由于该视频十分的有魔性，让人们一眼就觉得她们又在说别人家的八卦，后来被网友拿来拍视频火了起来。,生活,作为高龄单身女，我每年过年都被邻居大妈支配的恐惧中度过。,,交流代沟,,,,,完成,
店无书砸,Fahy,Eric,即“书店里没有您的书，我就把书店给砸了”的缩写，通常表示此人言论极其精彩。店无书砸，多出现在b战评论区里的对话之中，因为某些人的评论十分亮眼，此话用于表达对这些神评的推崇。,不明,生活,就您这文笔，店无书砸！,,神评,,,,,完成,
小美我的美,Fahy,Eric,指王者荣耀中的英雄孙尚香。,出自抖音博主溺满，溺满和小美的爱情故事是他和室友配音演出的搞笑段子。视频中，他深爱着小美，而口头禅就是小美小美我的美，但没有想到的是小美是个男人。孙尚香的游戏语音中有一句：“本大小姐，是废墟中唯一的信仰。”他在某个视频中深情地大喊：小美才是废墟中唯一的信仰！于是很多人管孙尚香叫小美。,直播,A: 你今天准备玩什么英雄。 B:  小美我的美  A：懂了！,,孙尚香,,,,,完成,
四斤大豆三根皮带,Fahy,Eric,日语“好想大声说爱你”（君が好きだと叫びたい）的空耳谐音梗：四斤大豆、三根皮带。,出自《灌篮高手》这部动漫的OP1《好想大声说爱你（君が好きだと叫びたい）》日语发音：四斤大豆、三根皮带。灌篮高手主题曲《好想大声说爱你》这首歌有一个神奇的地方便是越听越想听，听到后面就空耳了，特别是当你听到副歌部分跟着唱出来是就变成了：四斤大豆三根皮带。,学习,今天是情人节，xxx，四斤大豆三根皮带！！,,好想大声说爱你！,,,,,完成,
人间造妈机,Fahy,Eric,形容某个明星很可爱，收获了大批想当她妈妈的粉丝，因为吸妈粉的能力太强，仿佛一个自动吸妈粉机器，所以称他为人间造妈机。常用于粉丝夸自家偶像可爱的时候。,,明星,易洋千玺小时候可谓是人间造妈机。,,太想当他妈了,,,,,完成,
幸好我不识字,Fahy,Eric,最初是在遇到秀恩爱的内容时，被秀到的人们所作出的反应，一句幸好我不识字表现出一种不想看到秀恩爱时装不明白，自我逃避的情绪。幸好我不识字，现在在遇到不想看到的内容时也可以这么说。,,生活,又到情人节了，幸好我不识字，朋友圈的秀恩爱影响不到我。,,“无视”情商高的表现,,,,,完成,
饭锅炸了,Fahy,Eric,指编的故事过于离谱，假到让人听不下去了。,出自贴吧，某吧曾有一位叫煮饭婆的吧友，非常爱编故事，后来吧友们把爱编故事、编料的人统称煮饭婆。煮饭就是编故事，饭锅爆炸就是太假了编不下去了，还有补锅就是又圆回来了，女娲补锅就是把有明显逻辑问题的非常假的故事也圆回来了，且圆得很好。,生活,你这也太假了，饭锅炸了。,,就是离谱,,,,,完成,
心中无女人拔刀自然神,Fahy,Eric,指直男癌晚期的男生对女生示好无动于衷，只对游戏感兴趣。,出自一视频博主“即墨龙三岁”的短视频。因为在视频中的女方因为发给男孩一张自己的自拍张还是穿着JK制服和黑丝的照片，结果男孩却无动于衷，认为普普通通，但是女孩接下来的一张图片却引爆了男孩的兴趣，一把守望先锋中源氏的金刀(一把很帅并且不不容易获得的武器外观)，然后因为男孩对于两者的反差表现让妹子很是伤心，因为女孩说了一句“你什么意思，我给你发照片你就敷衍一下，一把游戏数据你比对我还在意还要激动”，然后男孩就进行了强烈的反击“你这是对一个剑士的侮辱，然后就是经典名句“心中无女人，拔刀自然神””然后配了一个源氏的动图用来挑衅女孩。于是这个梗就火了。,直播,心中无女人，拔刀自然神，剑谱第一页，忘掉心上人,,直男无疑,,,,,完成,
印尼的雷,Fahy,Eric,本来是印尼的天气频繁打雷的意思，现在是粉丝自我调侃是印尼的雷，也是大家对一个人表示不满的方式，很讨厌一个人的话就下单印尼的雷给他。,出自由董子健和倪妮主演的新剧《流金岁月》。董子健在剧中饰演的谢宏祖人设遭到一众网友的吐槽，不仅懦弱无能被称是妈宝男，还背叛朱锁锁，被骂是渣男，尤其是最新剧情里谢宏祖迫于妈妈的压力，无奈与朱锁锁离婚了，令网友们气到肝疼，对谢宏祖无限失望。因此最近看了流金岁月的人，都想要召唤印尼的雷来劈死谢宏祖了，以至于印尼的雷都缺货了。,明星,我真想给这个渣男召唤印尼的雷,,专劈渣男,,,,,完成,
前方低能,Fahy,Eric,指接下来那个人可能要做一个比较蠢的行为。,出自于“非正式会谈”主持人大左的名言。,直播,在看直播时，我知道这个人接下来要做一个傻傻的行为，所以我发了一个弹幕——前方低能。,,大家小心智商受损,,,,,完成,
